Time,Temp,t24maxtemp,t24mintemp,,
201711112353,29,38,17,,
201711120700,28,Day max 12,48,,
201711121900,43,,,Min 12-13,37
201711122353,39,,,,
201711130700,37,Day max 13,45,,
201711131900,41,,,Min 13-14,37
201711132353,39,,,,
201711140700,37,Max 14,45,,
201711141900,39,,,Min 14-15,30
201711142353,33,,,,
201711150700,30,Max 15,48,,
201711151900,46,,,Min 15-16,44
201711152353,45,,,,
201711160700,45,Max 16,45,,
201711161900,37,,,Min 16-17,36
201711162353,38,,,,
201711170700,36,Max 17,43,,
201711171900,37,,,Min 17-18,32
201711172353,32,,,,
201711180700,41,Max 18,54,,
201711181900,57,,,Min 18-19,36
201711182353,59,,,,
201711190700,37,Max 19,39,,
201711191900,36,,,Min 19-20,28
201711192353,32,,,,
201711200700,28,Max 20,43,,
201711201900,37,,,Min 20-21,34
201711202353,35,,,,
201711210700,37,Max 21,56,,
201711211900,50,,,Min 21-22,35
201711212353,49,,,,
201711220700,36,Max 22,36,,
201711221900,32,,,Min 22-23,23
201711222353,29,,,,
201711230700,25,Max 23,39,,
201711231900,36,,,Min 23-24,28
201711232353,34,,,,
201711240700,30,Max 24,54,,
201711241900,46,,,Min 24-25,43
201711242353,45,,,,
201711250700,48,Max 25,55,,
201711251900,48,,,Min 25-26,36
201711252353,45,,,,
201711260700,37,Max 26,43,,
201711261900,37,,,Min 26-27,32
201711262353,35,,,,
201711270700,34,Max 27,52,,
